id	oldColumnName	valueMappingId
261		
262	howKnown	
263	howLongKnown	
264	howWellKnown	
265	sendMidEval	
266		
267		
268	_2a	5
270	_1a	5
271	_3a	5
272	_6a	5
273	_7a	5
274	_4a	5
275	_5a	5
276	_8a	5
277	_9a	5
278	_10a	5
279	_11a	5
280	_12a	5
281	_13a	5
283	_14a	6
284	_15a	6
285	_16a	6
286	_17a	6
287	_18a	6
288	_19a	6
289	_20a	6
290	_21a	6
291	_1sa	
293	_2sa	
294	_3sa	
295	_4sa	
298	_6sb	7
299	_6sc	
300	_6sa	
301	_7sa	
302	_5sa	
303	_8sa	
304	closingRemarks	
305		
306		
